nom	adaptat	lat	lon	email	telf	fax	addr	url
Bar Restaurant Habana Barcelona	1	41.3753985222	2.18853675	Work: habanabarcelona@habanabarcelona.com	Work: +34 932250263	Fax: +34 932214467	C Escar 1, 08039, la Barceloneta, Ciutat Vella, BARCELONA	http://www.habanabarcelona.com
 Fresh	0	41.3970024306	2.15228966667		Work: +34 934156224		C Balmes 193, 08006, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Bar Pinocho	0	41.3826736861	2.17167872222		Work: +34 933171731		la Rambla 101, 08002, el Raval, Ciutat Vella, BARCELONA	
Col·legi d'Arquitectes de Catalunya	0	41.3844469861	2.17504136111		Work: +34 933067850		Pl Nova 5, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar Glüh	0	41.3869291667	2.17614663889				Verdaguer i Callís 6, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Bar Mandarina	0	41.3841537972	2.15856022222		Work: +34 933233393		Diputació 157, 08011, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Bar Restaurant El Último Agave	1	41.3878637306	2.15888902778	Work: elultimoagave@elultimoagave.com	Work: +34 934549343		C Aragó 193, 08011, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	http://www.elultimoagave.com
Restaurant Candela Raval	0	41.3807232889	2.17114869444	Work: info@candelaraval.com	Work: +34 933010813		C Hospital 48, 08001, el Raval, Ciutat Vella, BARCELONA	http://www.candelaraval.com
Hotel Claris	1	41.3944599139	2.16501319444	Work: east47.bcn@derbyhotels.es	Work: +34 934874647		C Pau Claris 150, 08009, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.derbyhotels.es
Restaurant Japonès Misaki	0	41.3875969944	2.16056083333		Work: +34 934513393		C Aribau 40, 08011, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant La Locanda	0	41.38595585	2.17551255556		Work: +34 933174609		C Doctor Joaquim Pou 4, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	http://www.restaurantelalocanda.com
Gran Hotel Havana Barcelona	0	41.3927016944	2.17219569444		Main: +34 934121115	Fax: +34 934122611	G.V. Corts Catalanes 647, 08010, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.grandhotelhavana.com
Restaurant Fresc Co *Av Diagonal/Muntaner	1	41.3936013417	2.14892416667	Work: frescco@frescco.com	Work: +34 934106106		Av Diagonal 449, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	http://www.frescco.com
Restaurant Xinès Hecheng	0	41.375703025	2.15597161111		Work: +34 933252349		Entença 12, 08015, Sant Antoni, Eixample, BARCELONA	
Restaurant Eterna	0	41.3817417556	2.15282308333	Work: info@restauranteeterna.com	Work: +34 93 424 2526	Fax: +34 93 423 5075	C Consell de Cent 127-129, 08015, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	http://www.restauranteeterna.com
Restaurant Kailash	0	41.4113365194	2.18044013889	Work: tibkailash@hotmail.com	Work: +34 934330766		C Xifré 100, 08026, el Camp de l'Arpa del Clot, Sant Martí, BARCELONA	
Free Girls	0	41.3993695306	2.15143238889		Work: +34 932172296		Marià Cubí 4, 08006, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Bulería Café-bar	0	41.3887909694	2.15898461111		Work: +34 934531019		Aribau 66, 08011, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Can Cargol	0	41.3954845944	2.16745197222		Work: +34 934589631	Fax: +34 934580017	C València 324, 08009, la Dreta de l'Eixample, Eixample, BARCELONA	
